razotajs,marka,gads,dzinejs,tilpums,nobraukums,cena,apraksts,bilde,saite
Volkswagen,Volkswagen Polo,2009,Dīzelis,1.6,255,4490,"Volkswagen Polo 1, 6 Tdi , kondicionieris, el. logi, signalizācija ar ce",https://i.ss.lv/gallery/4/777/194039/38807723.th2.jpg,/msg/lv/transport/cars/volkswagen/polo/bxbodi.html
Volvo,Volvo V50,2007,Dīzelis,2.4,175,3750,Volvo V50 2.4 D5 (132kW) Summum komplektācija   Auto labā tehniskā un vi,https://i.ss.lv/gallery/4/777/194039/38807702.th2.jpg,/msg/lv/transport/cars/volvo/v50/ofbbg.html
Citroen,Citroen C4,2006,Benzīns,1.6,191,1350,"Kredits/maina. Citroen C4, automats, 1.6 benzins.   Auto laba tehniska u",https://i.ss.lv/gallery/4/744/185807/37161355.th2.jpg,/msg/lv/transport/cars/citroen/c4/ephnl.html
Volvo,Volvo XC 90,2007,Dīzelis,2.4,480,5800,"Palidzu pārdot Auto, Xc 90 2.4d ar 136kw dzinēju. ir piekabes āķis, iebū",https://i.ss.lv/gallery/4/777/194039/38807711.th2.jpg,/msg/lv/transport/cars/volvo/xc90/apjdj.html
Hyundai,Hyundai i40,2013,Dīzelis,1.7,210,6199,Машина прошла техосмотр без замечаний.   Масло менялась каждые 6 -7000 к,https://i.ss.lv/gallery/4/763/190619/38123705.th2.jpg,/msg/lv/transport/cars/hyundai/i40/gphmc.html
Renault,Renault Trafic,2008,Dīzelis,2.0,318,3700,"Pārdodu Renault Trafic 2.0d 84kw, garā bāze, pilna masa 2960kg - vinjeti",https://i.ss.lv/gallery/4/773/193160/38631860.th2.jpg,/msg/lv/transport/cars/renault/trafic/bjkgcf.html
Audi,Audi A8,2003,Benzīns,4.2,322,5300,"Kredits/maina. Audi A8 4.2 v8, quattro, brc gaze.   Auto ideala tehniska",https://i.ss.lv/gallery/4/768/191931/38386116.th2.jpg,/msg/lv/transport/cars/audi/a8/ddkji.html
Volvo,Volvo V50,2010,Dīzelis,1.6,292,3800,V50 Facelift 2010 год. 1.6D. Хорошая машина с отличным? очень экономичны,https://i.ss.lv/gallery/4/777/194039/38807609.th2.jpg,/msg/lv/transport/cars/volvo/v50/bdxkii.html
Bmw,Bmw 320,2016,Dīzelis,2.0,239,12000,BMW 320d 190z/s  Oriģināls noskrējiens ar pilnu servisa vēsturi  Iespēja,https://i.ss.lv/gallery/4/697/174215/34842882.th2.jpg,/msg/lv/transport/cars/bmw/320/bbxjb.html
Mercedes,Mercedes Vaneo,2003,Dīzelis,1.7,178,1850,"Kredits/maina. Mercedes Vaneo, automats, dizelis.   Laba tehniska un viz",https://i.ss.lv/gallery/4/764/190774/38154664.th2.jpg,/msg/lv/transport/cars/mercedes/vaneo/bcedxf.html
Bmw,Bmw 330,2001,Benzīns,3.0,289,3500,"330ix 231zs, xDrive, kops un oriģināls auto, teicamā tehniskā kārtībā ar",https://i.ss.lv/gallery/4/658/164290/32857975.th2.jpg,/msg/lv/transport/cars/bmw/330/hefjh.html
Volvo,Volvo V40,2004,Benzīns,2.0,350,1880,Labā tehniskā braukšanas kārtība. Ekonomiska. Eļļa nesen mainīta. Sīkāk ,https://i.ss.lv/gallery/4/777/194033/38806547.th2.jpg,/msg/lv/transport/cars/volvo/v40/hbfmn.html
Citroen,Citroen C4 Picasso,2014,Dīzelis,1.6,168,9000,"Tiko no Francijas. Jauna TA , pardodas ideāls ģimenes auto, nav smeķets,",https://i.ss.lv/gallery/4/777/194038/38807490.th2.jpg,/msg/lv/transport/cars/citroen/c4picasso/pfhjh.html
Honda,Honda Civic,2007,Benzīns,1.8,196,4150,"Kredits/maina. Honda Civic, automats, jauna TA, 2007 gads.   Latvijas au",https://i.ss.lv/gallery/4/775/193562/38712252.th2.jpg,/msg/lv/transport/cars/honda/civic/dniem.html
Audi,Audi A2,2001,Dīzelis,1.4,338,1350,"Īpašniece pārdod savu koptu Audi A2 1, 4 Tdi 2001.gads  Audi ir labā stā",https://i.ss.lv/gallery/4/777/194038/38807474.th2.jpg,/msg/lv/transport/cars/audi/a2/bmokxf.html
Honda,Honda Civic,2009,Dīzelis,2.2,186,4600,"No Vācijas, Honda Civic 2, 2 l dīzelis(140zs) manuālā ātrumkārba, ļoti b",https://i.ss.lv/gallery/4/714/178329/35665671.th2.jpg,/msg/lv/transport/cars/honda/civic/cpfeo.html
Audi,Audi A3,1999,Dīzelis,1.9,265,2000,"Pārdodu koptu auto.   Apsildāmi spoguļi, visi četri elektriski logi.   R",https://i.ss.lv/gallery/4/777/194031/38806134.th2.jpg,/msg/lv/transport/cars/audi/a3/bbelkc.html
Ford,Ford Tourneo,2009,Dīzelis,2.0,217,2000,Продаётся грузовой бус .В хорошем техническом состоянии. Тяжёлый груз не,https://i.ss.lv/gallery/4/777/194037/38807391.th2.jpg,/msg/lv/transport/cars/ford/tourneo/cipgp.html
Volkswagen,Volkswagen Transporter,2010,Dīzelis,2.0,316,7990,Pārdod VW Transporter 2.0 Tdi 62kw / 6 sēdvietas / Tumšais salons/  Tikk,https://i.ss.lv/gallery/4/773/193038/38607529.th2.jpg,/msg/lv/transport/cars/volkswagen/transporter/cllbc.html
Ford,Ford Transit,2013,Dīzelis,2.2,270,6250,"Pārdodu labu darba zirgu, normālā tehniskā un vizuālā stāvoklī, nesen no",https://i.ss.lv/gallery/4/768/191893/38378597.th2.jpg,/msg/lv/transport/cars/ford/transit/gojok.html
Hyundai,Hyundai Elantra,2012,Benzīns,1.8,92,4990,"1.8i Automāts. Klimatkontrole, lietie diski, multistūre, kruīzkontrole, ",https://i.ss.lv/gallery/4/777/194035/38806901.th2.jpg,/msg/lv/transport/cars/hyundai/elantra/aoxoc.html
