razotajs,marka,gads,dzinejs,tilpums,nobraukums,cena,apraksts,bilde,saite
Lexus,Lexus IS,2000,Benzīns,3.0,220,5500,Продается Lexus Is200 2000 года выпуска. Произведена замена двигателя на,https://i.ss.lv/gallery/4/765/191225/38244952.th2.jpg,/msg/lv/transport/cars/lexus/is/eegnd.html
Toyota,Toyota RAV 4,2017,Hibrīds,2.5,193,18000,Rav4 Executive Hybrid vispilnākā aprikojuma. Individuālais pasūtījums.  ,https://i.ss.lv/gallery/4/777/194018/38803442.th2.jpg,/msg/lv/transport/cars/toyota/rav-4/bxdmed.html
Opel,Opel Astra,1998,Benzīns,1.6,300,620,"Opel Astra 1.6i, Vienkarsi spainis ar Ta, Par šo gadu nodoklis nomaksats",https://i.ss.lv/gallery/4/777/194019/38803777.th2.jpg,/msg/lv/transport/cars/opel/astra/dedhf.html
Mercedes,Mercedes GLE 350,2016,Dīzelis,3.0,173,39800,"Отличное состояние, ТО без замечаний.   Звонить по рабочим дням 8-17. В ",https://i.ss.lv/gallery/4/777/194019/38803752.th2.jpg,/msg/lv/transport/cars/mercedes/gle-350/bolpfl.html
Volkswagen,Volkswagen Lupo,1999,Dīzelis,1.7,295,800,"Ideāls pārvietošanās līdzeklis,   Labā stāvoklī",https://i.ss.lv/gallery/4/777/194019/38803607.th2.jpg,/msg/lv/transport/cars/volkswagen/lupo/mdfbp.html
Bmw,Bmw 320,2006,Benzīns,2.0,212,6600,Pārdod koptu un labi uzturētu auto ar salīdzinoši mazu un pārbaudāmu nob,https://i.ss.lv/gallery/4/777/194019/38803671.th2.jpg,/msg/lv/transport/cars/bmw/320/eliem.html
Volkswagen,Volkswagen Caravelle,2010,Dīzelis,2.0,292,9500,"Pārdod VW Caravelle. 2, 0 Tdi Auto labā stāvoklī.   Caravelles komplektā",https://i.ss.lv/gallery/4/721/180012/36002396.th2.jpg,/msg/lv/transport/cars/volkswagen/caravelle/eopjl.html
Toyota,Toyota Aygo,2008,Benzīns,1.0,186,2600,"Toyota Aygo 1.0 i benzīns, mehānika, atvesta no Vācijas, kondicionieris,",https://i.ss.lv/gallery/4/777/194019/38803642.th2.jpg,/msg/lv/transport/cars/toyota/aygo/plibj.html
Volvo,Volvo XC 70,2007,Dīzelis,2.4,336,5450,2.4D D5 136kw awd 4x4 Summum. Jauna TA. Auto teicama tehniska un vizuala,https://i.ss.lv/gallery/4/736/183853/36770475.th2.jpg,/msg/lv/transport/cars/volvo/xc70/bdcppg.html
Volkswagen,Volkswagen Touran,2004,Dīzelis,1.9,194,3450,"Продаётся VW Touran 1.9 Tdi, Dsg6 (77 Kw/105 лс) - самый надёжный двигат",https://i.ss.lv/gallery/4/766/191361/38272176.th2.jpg,/msg/lv/transport/cars/volkswagen/touran/bdljbk.html
Audi,Audi A6,2014,Dīzelis,2.0,265,13950,Audi A6  Ultra  2.0Tdi/140Kw/  Nobraukums:264489  Pirma reģistrācija:07.,https://i.ss.lv/gallery/4/768/191773/38354514.th2.jpg,/msg/lv/transport/cars/audi/a6/bgkon.html
Seat,Seat Leon,2002,Benzīns,1.6,136,1650,Pārdošanā auto labā vizuālā un tehniskā kārtībā ar patiesu mazu nobrauku,https://i.ss.lv/gallery/4/772/192776/38555079.th2.jpg,/msg/lv/transport/cars/seat/leon/fhked.html
Volvo,Volvo V60,2012,Dīzelis,2.0,177,7500,Pilna komplektacija. Mazs nobraukums. No Vacijas. Adas salons. Xenon. El,https://i.ss.lv/gallery/4/766/191287/38257393.th2.jpg,/msg/lv/transport/cars/volvo/v60/bphmkf.html
Volkswagen,Volkswagen Crafter,2009,Dīzelis,2.5,350,4300,"Pārdodu 2 labus VW Crafter Maxi busus, kravas nodalījums 4, 20m, kabīnē ",https://i.ss.lv/gallery/4/769/192024/38404709.th2.jpg,/msg/lv/transport/cars/volkswagen/crafter/bcefej.html
Volkswagen,Volkswagen Transporter,2004,Dīzelis,1.9,302,3600,Отличное техническое состояние. Только что пройден тех. осмотр. Заплачен,https://i.ss.lv/gallery/4/777/194018/38803571.th2.jpg,/msg/lv/transport/cars/volkswagen/transporter/hfkcp.html
Volvo,Volvo XC 90,2007,Dīzelis,2.4,244,7550,"В идеальном состоянии , только с Германии, 136кв , полностью в родной кр",https://i.ss.lv/gallery/4/777/194018/38803480.th2.jpg,/msg/lv/transport/cars/volvo/xc90/bfmien.html
Volkswagen,Volkswagen Sharan,2003,Benzīns,2.0,343,1550,"Automašīna Labā stāvoklī. Tiko izieta jauna tehniskā apskate , 2.0 benzī",https://i.ss.lv/gallery/4/765/191035/38206900.th2.jpg,/msg/lv/transport/cars/volkswagen/sharan/cgoff.html
Renault,Renault Espace,2003,Dīzelis,2.2,309,1550,Renault Espace 2.2 Diesel. Автомат. Автомобиль в хорошем состоянии. Двиг,https://i.ss.lv/gallery/4/775/193723/38744490.th2.jpg,/msg/lv/transport/cars/renault/espace/kxill.html
Audi,Audi A8,2005,Benzīns,3.2,156,5600,"Audi A8. 3.2 Quattro. Автомобиль куплен новым в Латвии, два владельца. О",https://i.ss.lv/gallery/4/777/194016/38803165.th2.jpg,/msg/lv/transport/cars/audi/a8/dienl.html
Bmw,Bmw 745,2002,Benzīns,4.5,271,4000,"Продаю bmw е65 745i, 333 л. с. , новый т. о, роскошное авто, комфортабел",https://i.ss.lv/gallery/4/754/188398/37679509.th2.jpg,/msg/lv/transport/cars/bmw/745/cembh.html
Skoda,Skoda Rapid,2016,Dīzelis,1.6,158,6800,"Viens īpašnieks, laicīgi ietas visas apkopes Green Motors, visi remontda",https://i.ss.lv/gallery/4/777/194016/38803150.th2.jpg,/msg/lv/transport/cars/skoda/rapid/blkbxp.html
Volvo,Volvo S60,2004,Dīzelis,2.4,286,3550,"Volvo S60, 2.4d5, facelift, 120kw, loti labi stavokli, riepas m+s, стары",https://i.ss.lv/gallery/4/777/194006/38801126.th2.jpg,/msg/lv/transport/cars/volvo/s60/bcjejo.html
Honda,Honda Civic,2001,Benzīns,1.6,192,1400,"Mazs, jaudīgs un ekonomisks auto meklē nākamo īpašnieku.   Jauna T. A.  ",https://i.ss.lv/gallery/4/777/194017/38803363.th2.jpg,/msg/lv/transport/cars/honda/civic/dkxfn.html
Bmw,Bmw 325,2008,Dīzelis,3.0,237,5699,Полный оригинальный M Sportpaket /переходная модель 2008 года/ Идеальное,https://i.ss.lv/gallery/4/776/193846/38769111.th2.jpg,/msg/lv/transport/cars/bmw/325/akjfh.html
Nissan,Nissan Pulsar,2015,Benzīns,1.2,116,7900,"Green Motors, Škoda oficiālais pārstāvis Rīgā, Krasta ielā 5 Pārdod:    ",https://i.ss.lv/gallery/4/777/194006/38801096.th2.jpg,/msg/lv/transport/cars/nissan/pulsar/bnjxff.html
Volkswagen,Volkswagen Polo,2013,Dīzelis,1.2,206,2990,"Auto laba stavokli, Salons ka jauns. Rūsas nau, ļoti ekanomisks 4-5 litr",https://i.ss.lv/gallery/4/777/194017/38803305.th2.jpg,/msg/lv/transport/cars/volkswagen/polo/dkhjx.html
Volkswagen,Volkswagen Touareg,2012,Dīzelis,3.0,181,16999,Pārdod Volkswagen Touareg 3.0Tdi 4Motion 180 kw/245zs Bluemotion. Cena a,https://i.ss.lv/gallery/4/776/193995/38798913.th2.jpg,/msg/lv/transport/cars/volkswagen/touareg/bjnige.html
Honda,Honda Accord,1993,Benzīns,2.0,30,750,Auto braucošā kārtībā vis strādā. Beidzās slimības lapa. Atliek nomaini ,https://i.ss.lv/gallery/4/762/190396/38079085.th2.jpg,/msg/lv/transport/cars/honda/accord/gnpxb.html
Honda,Honda Accord,1993,Benzīns,2.0,30,750,Auto braucošā kārtībā vis strādā. Beidzās slimības lapa. Atliek nomaini ,https://i.ss.lv/gallery/4/762/190396/38079085.th2.jpg,/msg/lv/transport/cars/honda/accord/gnpxb.html
Peugeot,Peugeot Partner,2009,Dīzelis,1.6,265,3850,Peugeot Partner Long. Auto labā tehniskā un vizuālā stāvoklī. 1.6 dīzeli,https://i.ss.lv/gallery/4/758/189379/37875654.th2.jpg,/msg/lv/transport/cars/peugeot/partner/bbhbnj.html
Opel,Opel Zafira,2004,Benzīns,1.8,149,2500,500Eur Pirmā iemaksa. Tikko no vācijas uz nomaksu bez banku starpniecība,https://i.ss.lv/gallery/4/774/193270/38653945.th2.jpg,/msg/lv/transport/cars/opel/zafira/fdlnx.html
Smart,Smart ForFour,2005,Benzīns,1.3,156,2199,Продается автомашина в идеальном техническом состоянии  без технических ,https://i.ss.lv/gallery/4/777/194017/38803241.th2.jpg,/msg/lv/transport/cars/smart/forfour/bgkgeg.html
Citroen,Citroen Berlingo,2016,Dīzelis,1.5,104,12500,"Кпп - Автомат, ТО - 10.2021.Автомобиль заказывался в Риге у официального",https://i.ss.lv/gallery/4/752/187981/37596137.th2.jpg,/msg/lv/transport/cars/citroen/berlingo/ciimb.html
Audi,Audi A4,1997,Benzīns,1.8,205,1300,Auto ir teicama tehniska un laba vizuāla stāvokli. Nobraukums 204316 km.,https://i.ss.lv/gallery/4/749/187102/37420345.th2.jpg,/msg/lv/transport/cars/audi/a4/cfjlk.html
Opel,Opel Astra,2007,Dīzelis,1.9,266,2650,"Pārdodu labu auto - gan tehniski, gan vizuāli. Ļoti ekonomisks gan degvi",https://i.ss.lv/gallery/4/723/180681/36136148.th2.jpg,/msg/lv/transport/cars/opel/astra/fxbnc.html
Seat,Seat Ibiza,2000,Benzīns,1.4,148,200,Pārdodu Seat Ibiza bez TA. TA beigusies novembrī. Auto ejošā stāvoklī.,https://i.ss.lv/gallery/4/777/194016/38803174.th2.jpg,/msg/lv/transport/cars/seat/ibiza/hhmbn.html
Bmw,Bmw X5,2016,Dīzelis,4.0,267,31999,BMW X5 4.0D / M-Sportpaket 313 Zs / Webasto / 7sēdvietas / Sakabes āķis ,https://i.ss.lv/gallery/4/777/194016/38803180.th2.jpg,/msg/lv/transport/cars/bmw/x5/amkgm.html
Mercedes,Mercedes S320,1998,Benzīns,3.2,374,1250,"Info pa telefonu, информация по телефону",https://i.ss.lv/gallery/4/775/193617/38723341.th2.jpg,/msg/lv/transport/cars/mercedes/s320/fdlxg.html
Bmw,Bmw X5,2003,Dīzelis,2.9,239,4450,Pārdodam automašīnu BMW X5.    Automašīnas papildaprīkojums: Stūres hidr,https://i.ss.lv/gallery/4/777/194015/38802964.th2.jpg,/msg/lv/transport/cars/bmw/x5/dkdix.html
Toyota,Toyota Land Cruiser,2013,Dīzelis,3.0,141,20550,"Auto nav krāsots. Privātpersona, kārtojot līzingu nāks klāt Pvn. Iespēja",https://i.ss.lv/gallery/4/763/190501/38100143.th2.jpg,/msg/lv/transport/cars/toyota/land-cruiser/ejixf.html
Toyota,Toyota RAV 4,2019,Hibrīds,2.5,42,32000,"Toyota Rav4 Style komplektacija E-Cvt 4Wd AT 2.5 hibrīds, perlomutri bal",https://i.ss.lv/gallery/4/777/194016/38803016.th2.jpg,/msg/lv/transport/cars/toyota/rav-4/bxfebf.html
Mercedes,Mercedes R350,2011,Dīzelis,3.0,250,10300,Pārdodam automašīnu Mercedes Benz R350.    Automašīnas papildaprīkojums:,https://i.ss.lv/gallery/4/765/191097/38219311.th2.jpg,/msg/lv/transport/cars/mercedes/r350/bekxbj.html
Volvo,Volvo V70,2005,Dīzelis,2.4,432,2200,Продаю Volvo v70(120kw). В хорошем техническом и визуальном состоянии.  ,https://i.ss.lv/gallery/4/777/194015/38802832.th2.jpg,/msg/lv/transport/cars/volvo/v70/bdfmei.html
Volvo,Volvo V50,2010,Dīzelis,2.0,137,6990,V50 D4 Summum 177 Ps    no Vācijas    - ādas salons  - apsildāmi sēdekļi,https://i.ss.lv/gallery/4/777/194013/38802589.th2.jpg,/msg/lv/transport/cars/volvo/v50/bhmedi.html
Toyota,Toyota Corolla Verso,2008,Dīzelis,2.0,209,3899,Продается автомашина в идеальном техническом состоянии  без технических ,https://i.ss.lv/gallery/4/777/194015/38802901.th2.jpg,/msg/lv/transport/cars/toyota/corolla-verso/bkglco.html
Bmw,Bmw 320,2004,Benzīns,2.2,315,5650,Pārdodu  BMW 320Ci M54B22 170zs  Auto tehniski un vizuāli labā stāvoklī ,https://i.ss.lv/gallery/4/767/191609/38321738.th2.jpg,/msg/lv/transport/cars/bmw/320/bekxdx.html
Audi,Audi A6,2007,Dīzelis,2.0,287,4150,В Латвии не эксплуатировалась. В хорошем техническом и визуальном состоя,https://i.ss.lv/gallery/4/777/194015/38802854.th2.jpg,/msg/lv/transport/cars/audi/a6/dexie.html
Citroen,Citroen Berlingo,2007,Dīzelis,1.6,321,1450,Продаю очень хорошем состоянии. Все недостатки устранены.,https://i.ss.lv/gallery/4/777/194014/38802648.th2.jpg,/msg/lv/transport/cars/citroen/berlingo/clcxg.html
Volkswagen,Volkswagen Golf 4,2000,Dīzelis,1.9,292,2150,"Maltautorj  No Vacijas  VW Golf-4 Genaration-1.9Tdi. 85Kw. , 6-Kpp, 2000",https://i.ss.lv/gallery/4/770/192493/38498437.th2.jpg,/msg/lv/transport/cars/volkswagen/golf-4/gipcg.html
Toyota,Toyota Yaris,2002,Benzīns,1.2,167,600,"Mašīna ir labā tehniskā stāvoklī, bet pamatīgi rūsējusi. Mazs nobraukums",https://i.ss.lv/gallery/4/777/194015/38802818.th2.jpg,/msg/lv/transport/cars/toyota/yaris/bfdomx.html
Volkswagen,Volkswagen Golf 4,2000,Dīzelis,1.9,293,1930,"Tikko no Vācijas, VW Golf 4 Edition ar 1.9Tdi-66Kw veco sūkņa dīzeļdzinē",https://i.ss.lv/gallery/4/774/193355/38670930.th2.jpg,/msg/lv/transport/cars/volkswagen/golf-4/gdeii.html
Volkswagen,Volkswagen Golf 5,2005,Benzīns,2.0,335,1870,"VW Golf V Gti apdarē- 2.0 benzīna dzinējs un mehāniskā ātrumkārba, dzinē",https://i.ss.lv/gallery/4/746/186259/37251658.th2.jpg,/msg/lv/transport/cars/volkswagen/golf-5/aeoxn.html
Kia,Kia Sportage,2017,Dīzelis,1.7,163,15400,"Kia Sportage 2Wd EX 1.7 Crdi dīzelis, 104Kw/141 Z/s, automātiskā ātrumkā",https://i.ss.lv/gallery/4/760/189924/37984748.th2.jpg,/msg/lv/transport/cars/kia/sportage/fxocf.html
Bmw,Bmw 530,2005,Dīzelis,3.0,311,5650,"Pārdodu BMW 535d, 200kw, M-paket.     Klimata kontrole  Kruīza kontrole ",https://i.ss.lv/gallery/4/767/191720/38343962.th2.jpg,/msg/lv/transport/cars/bmw/530/blbejx.html
Audi,Audi A3,2006,Dīzelis,2.0,355,3150,"4Durvis. Audi A3 ar 2.0 - 103Kw dīzeļdzinēju , mehāniskā ātrumkārba, aut",https://i.ss.lv/gallery/4/768/191976/38395053.th2.jpg,/msg/lv/transport/cars/audi/a3/dejxo.html
Renault,Renault Laguna,2007,Dīzelis,1.9,225,1990,"1.9 dīzelis 85 kw, ievests no Vācijas piereģistrēts ar izietu tehnisko a",https://i.ss.lv/gallery/4/777/194007/38801356.th2.jpg,/msg/lv/transport/cars/renault/laguna/hgbcl.html
Mercedes,Mercedes Sprinter,2008,Dīzelis,2.2,307,9200,Pārdodu Sprinteri ļoti labā tehniskajā stāvoklī.   Pilna masa 3500kg (B ,https://i.ss.lv/gallery/4/763/190516/38103100.th2.jpg,/msg/lv/transport/cars/mercedes/sprinter/heflg.html
Hyundai,Hyundai ix35,2011,Dīzelis,2.0,173,6990,"Hyundai ix35, 4Wd Premium komplektācija ar 2.0 Dīzeļa dzinēju un Automāt",https://i.ss.lv/gallery/4/777/194014/38802609.th2.jpg,/msg/lv/transport/cars/hyundai/ix35/bmckbi.html
Opel,Opel Vectra,2006,Dīzelis,3.0,266,1400,"Auto braucams, trukst jaudas, caura tosola truba, loti bagatiga komplekt",https://i.ss.lv/gallery/4/777/194014/38802638.th2.jpg,/msg/lv/transport/cars/opel/vectra/fxnll.html
Volvo,Volvo V50,2004,Dīzelis,2.0,261,2390,"Tikko no Nīdelandes, Volvo V50 / 2.0D 100kw / Manuālā ātr. kārba(6ātrumi",https://i.ss.lv/gallery/4/777/194004/38800670.th2.jpg,/msg/lv/transport/cars/volvo/v50/biibhd.html
Chrysler,Chrysler Voyager,2005,Dīzelis,2.5,248,2500,"Lv/ru. Jauni amortizatori un atsperes (4gab), jauns akumulators (garanti",https://i.ss.lv/gallery/4/777/194013/38802597.th2.jpg,/msg/lv/transport/cars/chrysler/voyager/bgidx.html
Audi,Audi A3,2002,Dīzelis,1.9,285,990,Audi a3 facelift/ 1.9 tdi 96kw     Vīzuali defekti pa perimetru.     R16,https://i.ss.lv/gallery/4/775/193572/38714400.th2.jpg,/msg/lv/transport/cars/audi/a3/cgfho.html
Volvo,Volvo XC 90,2006,Dīzelis,2.4,203,8200,Mašina ar 100% oriģinālo nobraukumu.,https://i.ss.lv/gallery/4/777/194013/38802578.th2.jpg,/msg/lv/transport/cars/volvo/xc90/ading.html
Bmw,Bmw 530,1999,Dīzelis,3.0,400,1600,"Pārdodu bmw e39 3, 0D manuālā ātrum kārba 135kw jauna tehniskā apskate t",https://i.ss.lv/gallery/4/777/194013/38802467.th2.jpg,/msg/lv/transport/cars/bmw/530/fpjjh.html
Bmw,Bmw X6,2013,Dīzelis,5.0,256,18500,Ar kārbas defektu M50d (386hp).   Pie 240000 veikta ķēdes maiņa.   Pārēj,https://i.ss.lv/gallery/4/777/194013/38802405.th2.jpg,/msg/lv/transport/cars/bmw/x6/bhndeh.html
Nissan,Nissan Qashqai,2015,Benzīns,1.2,133,9250,"Mašīnu pārdod īpašnieks.   Pirkta Rīgā, Norde salonā.   Vasaras un ziema",https://i.ss.lv/gallery/4/742/185430/37085995.th2.jpg,/msg/lv/transport/cars/nissan/qashqai/bollkf.html
Volkswagen,Volkswagen Sharan,1997,Dīzelis,1.9,571,1350,"Pardodas divas automašīnas. , cena par abām, vienai beigsies TA aprīlī, ",https://i.ss.lv/gallery/4/776/193891/38778007.th2.jpg,/msg/lv/transport/cars/volkswagen/sharan/dfxbh.html
Audi,Audi A6,2002,Dīzelis,2.5,316,1650,Продаю audi a6 c5 2.5tdi. Литые диски с резиной на R16.Авто продается в ,https://i.ss.lv/gallery/4/771/192681/38536020.th2.jpg,/msg/lv/transport/cars/audi/a6/annke.html
Volkswagen,Volkswagen Transporter,1996,Dīzelis,2.5,400,2500,"Продается транспортер с салоном мультивена, в хорошем состоянии с новым ",https://i.ss.lv/gallery/4/777/194012/38802374.th2.jpg,/msg/lv/transport/cars/volkswagen/transporter/ccjil.html
Toyota,Toyota Corolla Verso,2008,Benzīns,1.8,270,3700,"Pārdodu savu Toyotu, stāvoklis sēdies un brauc. Sīkāk pa tālruni.",https://i.ss.lv/gallery/4/771/192510/38501963.th2.jpg,/msg/lv/transport/cars/toyota/corolla-verso/nfbji.html
Renault,Renault Scenic,2002,Dīzelis,1.9,457,550,Pa ļoti lēto. Vēl teicams autiņš. Darba kārtībā. Zobsiksna mainīta. Diva,https://i.ss.lv/gallery/4/776/193963/38792467.th2.jpg,/msg/lv/transport/cars/renault/scenic/ikpgx.html
Volvo,Volvo V60,2017,Dīzelis,2.0,180,13900,Volvo V-60 Polar Plus 2.0 D3-150z/s. Automāts-Geatronic.   Led-Bixenons-,https://i.ss.lv/gallery/4/747/186521/37304073.th2.jpg,/msg/lv/transport/cars/volvo/v60/bmcddk.html
Bmw,Bmw 530,2015,Dīzelis,3.0,225,16900,BMW 530D F11 Lci. Xdrive. Euro 6.    Editions And Packages  S7A2 Innovat,https://i.ss.lv/gallery/4/765/191011/38202173.th2.jpg,/msg/lv/transport/cars/bmw/530/gimig.html
Renault,Renault Trafic,2004,Dīzelis,2.5,420,2800,"Busiņš nau ideāls, ir šur tur rokā jāpieliek, vēl viens riepu komplekts ",https://i.ss.lv/gallery/4/777/194012/38802203.th2.jpg,/msg/lv/transport/cars/renault/trafic/gidmn.html
Bmw,Bmw 420,2014,Dīzelis,2.0,200,20450,"Cena 16900 netto, tikko veikta lielā apkope (nomainīts motorķēžu komplek",https://i.ss.lv/gallery/4/767/191604/38320797.th2.jpg,/msg/lv/transport/cars/bmw/420/bmgpld.html
Volkswagen,Volkswagen Crafter,2020,Dīzelis,2.0,10,29990,Moller Auto Krasta piedāvā auto iegādi arī Attālināti.     Jaunu iepriek,https://i.ss.lv/gallery/4/770/192492/38498310.th2.jpg,/msg/lv/transport/cars/volkswagen/crafter/bkdjfc.html
Ford,Ford S-Max,2008,Dīzelis,2.2,289,5500,"Из Германии. Новый Т. О, новая всесезонная резина R18 Hankook. Заменено ",https://i.ss.lv/gallery/4/774/193374/38674688.th2.jpg,/msg/lv/transport/cars/ford/s-max/bpixlh.html
Skoda,Skoda Scala,2021,Benzīns,1.0,5,19640,"Škoda dīleris Valmierā, Mūsu Auto Valmiera, piedāvā:    Jaunu, iepriekš ",https://i.ss.lv/gallery/4/748/186781/37356082.th2.jpg,/msg/lv/transport/cars/skoda/scala/cxhlde.html
Skoda,Skoda Scala,2020,Benzīns,1.0,5,21450,"Škoda dīleris Valmierā, Mūsu Auto Valmiera, piedāvā:    Jauna automašīna",https://i.ss.lv/gallery/4/733/183103/36620511.th2.jpg,/msg/lv/transport/cars/skoda/scala/cxgjfm.html
Skoda,Skoda Kamiq,2021,Benzīns,1.0,5,23800,"Škoda dīleris Valmierā, Mūsu Auto Valmiera, piedāvā:    Jaunu Škoda Kami",https://i.ss.lv/gallery/4/748/186780/37355864.th2.jpg,/msg/lv/transport/cars/skoda/kamiq/cxgjpi.html
Volvo,Volvo V60,2011,Dīzelis,2.4,274,8200,Продаю Volvo v60 R-design 2.4d 151kw/205hp     Комплектация:  R-design о,https://i.ss.lv/gallery/4/777/194010/38801810.th2.jpg,/msg/lv/transport/cars/volvo/v60/bnxgco.html
Gaz,Gaz 21,1963,Benzīns,2.3,91,3500,Pārdodu 3.Volgas . Vienai ir dokumenti Sīkāka info pa telefonu.,https://i.ss.lv/gallery/4/691/172608/34521431.th2.jpg,/msg/lv/transport/cars/gaz/21/bmfjm.html
Audi,Audi A4,2005,Dīzelis,2.0,312,2650,"Pārdodas Audi A4, 2005.gads, 2.0 dīzelis, 103kw. Degvielas patēriņš vidē",https://i.ss.lv/gallery/4/777/194009/38801755.th2.jpg,/msg/lv/transport/cars/audi/a4/flcmm.html
Volvo,Volvo XC 70,2004,Benzīns,2.5,319,3550,"Volvo Xc70 Cross 2, 5 benzins/154kw, servisa grāmatiņa, pilna servisa vē",https://i.ss.lv/gallery/4/777/194011/38802066.th2.jpg,/msg/lv/transport/cars/volvo/xc70/blfklo.html
Hyundai,Hyundai i20,2017,Benzīns,1.0,77,7990,"Tiek pārdots 2017. gada Hyundai i20 Active, 1.0 benzīns, manuāls, nobrau",https://i.ss.lv/gallery/4/777/194004/38800620.th2.jpg,/msg/lv/transport/cars/hyundai/i20/bnxppg.html
Hyundai,Hyundai Getz,2005,Benzīns,1.3,230,950,Продается Hyundai Getz 1.3 бензин 2005 года выпуска. Ручная коробка пере,https://i.ss.lv/gallery/4/777/194010/38801970.th2.jpg,/msg/lv/transport/cars/hyundai/getz/bbxdk.html
Land Rover,Land Rover Range Rover Evoque,2016,Dīzelis,2.0,183,21900,Экономичная и стильная машина.   В отличном визуальном и техническом сос,https://i.ss.lv/gallery/4/777/194010/38801921.th2.jpg,/msg/lv/transport/cars/land-rover/range-rover-evoque/bljppd.html
Mercedes,Mercedes C220,2009,Dīzelis,2.2,212,6400,Tikko no Vācijas. C220 125kw. Pilnākā komplektācijā. Ādas salons.   -Har,https://i.ss.lv/gallery/4/777/194009/38801776.th2.jpg,/msg/lv/transport/cars/mercedes/c220/bncpo.html
Volvo,Volvo XC 60,2016,Dīzelis,2.0,136,19600,"Volvo Xc-60 Summum Fwd 2.0 D4-190 z/s, Automāts-Geatronic 8-ātrumi,   Vo",https://i.ss.lv/gallery/4/777/194010/38801891.th2.jpg,/msg/lv/transport/cars/volvo/xc60/bmlfjo.html
Hyundai,Hyundai Tucson,2016,Benzīns,1.6,48,16000,Pārdodu a/m ļoti labā tehniskā un vizuālā kārtībā. Pirkts un  apkopots S,https://i.ss.lv/gallery/4/776/193791/38758005.th2.jpg,/msg/lv/transport/cars/hyundai/tucson/dnjek.html
Toyota,Toyota Avensis,2004,Dīzelis,2.0,316,1990,"Līzings. / Toyota Avensis 2.0 , Dīzelis ar ātrumkārbu .Labākais dzinejs ",https://i.ss.lv/gallery/4/777/194010/38801859.th2.jpg,/msg/lv/transport/cars/toyota/avensis/fgbxn.html
Volvo,Volvo V60,2016,Dīzelis,2.0,190,9900,"Volvo V60, reg. nr. : Mt4876, facelift, 2016 gada, 2.0 dīzelis, ievest n",https://i.ss.lv/gallery/4/771/192519/38503707.th2.jpg,/msg/lv/transport/cars/volvo/v60/cxbocd.html
Opel,Opel Insignia,2015,Dīzelis,2.0,211,7490,"Opel Insignia Sports Tourer SW, 2.0d / 103 kW / 140zs  Auto tikko ievest",https://i.ss.lv/gallery/4/761/190190/38037935.th2.jpg,/msg/lv/transport/cars/opel/insignia/bxpcnd.html
Porsche,Porsche 911,2015,Benzīns,3.8,88,83000,"Porsche 991 Carrera 2 Gts Pdk. 2015. gada. 3.8l benzīns, 316 Kw (430 Hp)",https://i.ss.lv/gallery/4/734/183382/36676234.th2.jpg,/msg/lv/transport/cars/porsche/911/hjjfo.html
Volvo,Volvo XC 60,2009,Dīzelis,2.4,308,8100,Машина в хорошем тех. состоянии. 5лет у одного владельца. Последняя заме,https://i.ss.lv/gallery/4/777/194009/38801645.th2.jpg,/msg/lv/transport/cars/volvo/xc60/bxfexf.html
Volvo,Volvo V40,2012,Dīzelis,1.6,205,7000,"Ļoti ekonomisks ekspluatācijā piekam ar mazo nodokli, tajā pašā laikā di",https://i.ss.lv/gallery/4/777/194008/38801447.th2.jpg,/msg/lv/transport/cars/volvo/v40/bxbeom.html
Volkswagen,Volkswagen Passat (B5),1998,Dīzelis,1.9,375,950,Pārdodu VW Passat B5 81kw 1.9tdi ar manuālo kārbu. Tehniski mašīna ir li,https://i.ss.lv/gallery/4/777/194009/38801710.th2.jpg,/msg/lv/transport/cars/volkswagen/passat-b5/nhbmm.html
Bmw,Bmw 320,1999,Benzīns,2.0,254,3000,"BMW 320i Steptronic 110 Kw / 150 PS    Aprīkojums:    Biksenona lukturi,",https://i.ss.lv/gallery/4/777/194009/38801679.th2.jpg,/msg/lv/transport/cars/bmw/320/hddfm.html
Bmw,Bmw 330,2002,Dīzelis,3.0,313,2650,"Pardod BMW 330d 135kw nesen izieta tehniska apskate, labas ziemas riepas",https://i.ss.lv/gallery/4/777/194009/38801665.th2.jpg,/msg/lv/transport/cars/bmw/330/bccfd.html
Bmw,Bmw 318,2009,Dīzelis,2.0,301,6300,Pārdod BMW 318D. Auto labā tehniskā stāvoklī. Janvārī veikta apkope BMW ,https://i.ss.lv/gallery/4/776/193997/38799306.th2.jpg,/msg/lv/transport/cars/bmw/318/glhfp.html
Kia,Kia Sportage,2019,Dīzelis,1.6,13,21900,"Dīzelis, 115zs, MT, Ex.   Oficiālais Kia pārstāvis Latvijā ""Forum Auto"" ",https://i.ss.lv/gallery/4/747/186698/37339534.th2.jpg,/msg/lv/transport/cars/kia/sportage/cdbph.html
Mercedes,Mercedes C180,1996,Benzīns,1.8,180,1690,Машина действительно в отличном визуальном и техническом состоянии.,https://i.ss.lv/gallery/4/769/192148/38429486.th2.jpg,/msg/lv/transport/cars/mercedes/c180/aomdg.html
Renault,Renault Clio,2016,Dīzelis,1.5,120,6400,Pārdodu šo Renault Clio 1.5dci 66kw 90zs dīzeļdzinējs ar mehānisko ātrum,https://i.ss.lv/gallery/4/752/187860/37571903.th2.jpg,/msg/lv/transport/cars/renault/clio/cclco.html
